,UW,AW,treatment
JCK1,0.115555556,1.115,JCK
JCK2,0.111666667,1.11,JCK
JCK3,0.132222222,1.074166667,JCK
JB1,0.170833333,1.124,JB
JB2,0.17,1.074444444,JB
JB3,0.189090909,1.093636364,JB
JF1,0.202222222,1.011818182,JF
JF2,0.19125,1.042307692,JF
JF3,0.169090909,0.990909091,JF
JL1,0.14875,1.161666667,JL
JL2,0.159230769,1.246153846,JL
JL3,0.177142857,1.165555556,JL
JA1,0.116666667,0.996666667,JA
JA2,0.144,1.146363636,JA
JA3,0.132,1.077692308,JA
JAB1,0.179166667,1.045,JAB
JAB2,0.17,0.882857143,JAB
JAB3,0.157666667,0.851,JAB
JAF1,0.187692308,1.050769231,JAF
JAF2,0.199,0.942222222,JAF
JAF3,0.178333333,0.964545455,JAF
JAL1,0.153333333,0.895714286,JAL
JAL2,0.156666667,0.91,JAL
JAL3,0.154444444,0.890833333,JAL
